AIRPORT_ID,CITY_MARKET_ID,Abriv
13947,33947,OSC
11146,31146,CRW
11641,31641,FAY
12323,32323,ILM
13577,31135,MYR
13795,33795,OAJ
14092,34092,PGV
14574,34574,ROA
16133,36133,YNG
10676,30676,BLV
14470,34470,RBN
11203,30424,CWA
11471,31471,EAU
11563,31563,ENV
11834,31834,FYV
11921,31921,GJT
11953,31953,GNV
13264,33264,MFR
13486,33486,MSO
14252,34252,PSC
14254,34254,PSE
10216,30216,AHN
11732,31732,FPR
12595,32595,JZQ
10697,30697,BNF
14270,34270,PTD
11392,30299,DQL
13003,33003,LKK
14468,34468,RBH
13809,33809,OCF
10033,30033,A20
12190,32190,HOT
12917,31066,LCK
15090,35090,SYA
10819,30819,BWG
10947,30947,CEW
11421,31421,DSI
11434,31434,DUA
11479,31479,ECG
11714,31714,FMY
11827,32467,FXE
12223,32223,HTS
12559,32559,JST
13182,33182,MBL
13418,33418,MNZ
13655,33495,NEW
13988,33988,OXR
14082,34082,PGD
14194,34194,PNX
14539,34539,RKD
15048,35048,SUX
12574,30693,TN8
15323,35323,TRI
15374,35374,TUP
15497,35497,UST
15569,35569,VCT
10627,30627,BIS
11719,31719,FNL
11980,31980,GRI
10590,30590,IFP
13076,33076,LSE
13203,33155,MCN
13367,33367,MLI
13433,33304,MOT
13502,33502,MTJ
14108,34108,PIA
14288,34288,PUB
14457,34457,RAP
10268,30268,ALO
10298,30298,ANB
11111,32474,COU
11840,31840,GAD
13046,33046,LOZ
13307,33307,MIE
15163,35163,TDF
11099,31099,COF
12134,32134,HIK
13297,33297,MHV
13682,31136,NIP
15045,35045,SUU
15422,32016,UAM
15842,35842,WRI
13295,33192,MHR
12055,30977,GYY
11885,31885,GEK
15160,35160,TCT
15250,35250,TLJ
15881,35849,WWA
10005,30005,05A
10076,30076,A63
16720,36699,A6K
13415,33415,MNT
15504,35504,UTO
16339,36339,ZXF
10990,30990,CHO
13277,33277,MGM
16345,36345,ZXM
10157,30157,ACV
10589,30589,BHB
10930,30930,CEC
11283,31283,DDC
11468,31468,EAR
12899,32899,LBF
12902,32902,LBL
13024,33024,LMT
13964,33964,OTH
14025,34025,PBG
14231,34231,PQI
12748,32748,KNK
13715,33715,NNL
14046,34046,PDB
14268,34268,PTA
14412,34412,QQB
14582,34582,ROP
14955,34955,SPN
15215,35215,TIQ
14588,34588,ROW
10016,30016,A03
10085,30085,A72
12649,32649,KEB
14088,34088,PGM
14942,34942,SOV
12857,32857,KXA
15793,35793,WMK
16346,36346,ZXN
11348,31348,DMN
12039,32039,GWO
10040,30040,A27
15024,34945,STT
10631,30631,BJI
10739,30739,BRD
11198,31198,CVO
11648,31648,FCA
11711,31711,FMN
14120,34120,PIR
14431,34431,QQU
11453,31453,DWH
10556,30556,BFB
12705,32705,KKB
12771,32771,KOY
12782,32782,KPR
13888,33888,ONN
11027,31027,CKB
12003,31895,GTF
12054,30466,GYR
15023,34433,STS
14131,34131,PKB
14113,34113,PIH
14960,34960,SPS
10333,30333,APN
10561,30561,BFL
10918,30918,CDC
11076,31076,CMX
11097,31097,COD
11612,31612,EVV
11638,31638,FAT
11778,31778,FSM
12156,32156,HLN
12280,32280,IDA
12888,32888,LAR
13184,33184,MBS
14698,34236,SBP
14794,34794,SGU
15897,35897,WYS
16218,33785,YUM
10732,30732,BQN
12951,32951,LFT
10141,30141,ABR
10562,30562,BFM
11867,31867,GCK
12335,32335,IMT
13287,33287,MHE
13459,33459,MQT
14842,34842,SJT
15381,35381,TVF
15396,35396,TX4
11617,31617,EWN
13139,33139,LYH
10685,30685,BMI
11699,31699,FLO
14704,34704,SBY
12324,32324,ILN
12884,32884,LAN
11413,30285,DRO
10419,30419,AUO
11577,31577,ERI
11905,31905,GGG
12007,30894,GTR
12177,32177,HOB
12511,32511,JLN
12915,31205,LCH
13241,33241,MEI
13290,33290,MHK
13377,33377,MLU
14109,34109,PIB
15411,35411,TYR
15607,35550,VLD
10146,30146,ABY
12743,32743,KMY
12854,32854,KWP
15446,35446,UGI
10654,30654,BKW
14098,33667,PHF
14897,34897,SMN
11879,31879,GDV
12891,32891,LAW
12018,32018,GUP
11898,31898,GFK
11522,30157,EKA
14237,34237,PRC
11470,31470,EAT
14467,34467,RBG
14489,34489,RDM
16101,36101,YKM
15027,34992,STX
14745,34745,SDY
12124,32124,HHH
11924,31924,GKN
12012,32012,GUC
12094,34699,HDN
12119,32119,HGR
10643,30643,BKG
11308,31308,DHN
10910,32457,CCR
15177,35177,TEX
10950,30950,CEZ
14905,34905,SMX
11695,31695,FLG
14054,34054,PDT
11587,31587,ESC
12436,32436,IYK
12956,32956,LGD
10617,30617,BIH
11002,31002,CIC
11050,31050,CLM
12132,32132,HII
13127,33127,LWS
13540,33540,MVW
13546,33546,MWH
13890,33890,ONP
13105,33105,LUK
11447,31447,DVL
11013,31013,CIU
13246,33246,MEO
13501,33501,MTH
13862,33862,OLF
14871,34871,SLE
10744,30744,BRL
11725,31725,FOD
12412,32412,IWD
13211,33211,MCW
10817,30817,BWD
15458,35458,UKI
14543,34543,RKS
10272,30272,ALS
11085,31085,CNM
11931,31931,GLH
13484,33484,MSL
11865,31865,GCC
12519,32519,JMS
11067,31067,CMI
13388,33388,MMH
12207,32207,HRO
13490,33490,MSS
15051,35051,SVC
15855,35855,WST
14520,34520,RHI
15525,35525,UXK
14534,34534,RIW
13785,33785,NYL
11531,31531,ELD
14802,34802,SHD
10409,30409,ATY
13109,33109,LUP
12129,32129,HIB
12255,32255,HYS
10322,30322,AOO
10221,30221,AIA
10925,30925,CDR
13200,33200,MCK
15582,35582,VEL
10779,30779,BTM
11525,31525,EKO
13344,33344,MKG
14006,34006,PAH
15601,35601,VIS
11288,31288,DEC
13032,33032,LNS
11092,31092,CNY
13520,33520,MUE
10361,30361,ART
11441,31441,DUJ
13194,33194,MCE
12174,32174,HNM
10728,30728,BPT
15074,35074,SWO
12363,32363,IPL
12455,32455,JBR
13348,33348,MKL
10275,30275,ALW
11197,31197,CVN
14943,34943,SOW
10577,30577,BGM
15401,35401,TXK
11684,31684,FKL
13282,33282,MGW
11274,31274,DBQ
10731,30731,BQK
14303,34303,PUW
10557,30557,BFD
12494,32494,JHW
11908,31908,GGW
12245,32245,HVR
14875,34875,SLK
12375,32375,IRK
10967,30967,CGI
13176,33176,MAZ
15138,35138,TBN
10414,30414,AUG
14945,34945,SPB
14992,34992,SSB
15454,35454,UIN
13543,33543,MWA
13845,1384501,OIC
12388,1238802,ISM
12944,1294402,LEW
13599,1359905,NAD
13464,1346402,MRC
11394,1139402,DQN
13791,1379103,NZY
14628,1462801,RSJ
10933,1093302,CEF
16719,1671901,N2C
13410,1341002,MNN
10300,1030002,AND
10778,1077802,BTL
12131,1213102,HIF
12247,1224702,HWD
13940,1394002,ORT
16336,1633602,ZXC
14753,1475302,SEM
